资材编号	品名	规格	单位	数量
JJ36A12083	标签	NK1799	PCS	1
JJ36E00646	标签	NC4629B		1
JJ36E00657	标签	NC4873		1
JJ36E21722	表示板	NK5891	PCS	2
JJ36E60019	标签	NK5319	PCS	1
JJ36E60916	标签	NT0006	PCS	1
JJ36E90315	标签	NL0060	PCS	2
JJ36E90326	标签	NL0061	PCS	2
JJ36F42742	标签	NK3384B	PCS	1
MM36D00154	说明书	CPSS-135(P7436)	PCS	1
MM36D00155	说明书	CPSS-135(P7973)	PCS	1
